,index,prediction
0,69500,180.0 centimetre
1,69501,
2,69502,
3,69503,
4,69504,13.9 millimetre
5,69505,13.9 millimetre
6,69506,
7,69507,281.0 millimetre
8,69508,
9,69509,
10,69510,31.5 inch
11,69511,24.0 millimetre
12,69512,60.0 centimetre
13,69513,60.0 centimetre
14,69514,
15,69515,9.0 centimetre
16,69516,9.0 centimetre
17,69517,180.0 centimetre
18,69518,180.0 centimetre
19,69519,
20,69520,34.0 centimetre
21,69521,60.0 centimetre
22,69522,
23,69523,
24,69524,2.5 kilogram
25,69525,
26,69526,
27,69527,
28,69528,
29,69529,6.0 foot
30,69530,21.0 centimetre
31,69531,
32,69532,6.0 centimetre
33,69533,
34,69534,
35,69535,133.0 centimetre
36,69536,98.0 centimetre
37,69537,98.0 centimetre
38,69538,98.0 centimetre
39,69539,29.0 millimetre
40,69540,2.0 inch
41,69541,2.0 inch
42,69542,30.0 centimetre
43,69543,118.0 millimetre
44,69544,118.0 millimetre
45,69545,45.0 centimetre
46,69546,45.0 centimetre
47,69547,
48,69548,
49,69549,12.0 centimetre
50,69550,12.0 centimetre
51,69551,
52,69552,
53,69553,
54,69554,
55,69555,6.0 inch
56,69556,
57,69557,1570.0 ton
58,69558,
59,69559,
60,69560,44.0 millimetre
61,69561,
62,69562,21.0 centimetre
63,69563,21.0 centimetre
64,69564,
65,69565,60.0 centimetre
66,69566,60.0 centimetre
67,69567,60.0 centimetre
68,69568,
69,69569,55.0 inch
70,69570,50.0 centimetre
71,69571,50.0 centimetre
72,69572,50.0 centimetre
73,69573,43.0 centimetre
74,69574,8.0 centimetre
75,69575,8.0 centimetre
76,69576,
77,69577,
78,69578,
79,69579,
80,69580,
81,69581,
82,69582,
83,69583,
84,69584,
85,69585,6.0 centimetre
86,69586,6.0 centimetre
87,69587,78.0 centimetre
88,69588,78.0 centimetre
89,69589,110.0 millimetre
90,69590,110.0 millimetre
91,69591,72.0 centimetre
92,69592,6.0 centimetre
93,69593,
94,69594,590.0 gram
95,69595,590.0 gram
96,69596,22.0 centimetre
97,69597,22.0 centimetre
98,69598,75.0 centimetre
99,69599,60.0 centimetre
100,69600,60.0 centimetre
101,69601,
102,69602,
103,69603,
104,69604,
105,69605,
106,69606,
107,69607,
108,69608,
109,69609,
110,69610,7.0 centimetre
111,69611,7.0 centimetre
112,69612,113.8 centimetre
113,69613,13.0 centimetre
114,69614,37.0 centimetre
115,69615,20.87 inch
116,69616,
117,69617,
118,69618,3.3 inch
119,69619,3.3 inch
120,69620,20.0 centimetre
121,69621,20.0 centimetre
122,69622,
123,69623,
124,69624,2.0 centimetre
125,69625,16.5 centimetre
126,69626,180.0 millimetre
127,69627,180.0 millimetre
128,69628,180.0 millimetre
129,69629,90.0 centimetre
130,69630,90.0 centimetre
131,69631,6.0 centimetre
132,69632,6.0 centimetre
133,69633,430.0 millimetre
134,69634,
135,69635,
136,69636,
137,69637,9.5 centimetre
138,69638,72.0 millimetre
139,69639,72.0 millimetre
140,69640,
141,69641,450.0 pound
142,69642,25.7 centimetre
143,69643,25.7 centimetre
144,69644,
145,69645,
146,69646,
147,69647,
148,69648,
149,69649,5.0 centimetre
150,69650,5.31 inch
151,69651,9.0 centimetre
152,69652,9.0 centimetre
153,69653,
154,69654,2424.6 centimetre
155,69655,245.0 millimetre
156,69656,245.0 millimetre
157,69657,15.0 centimetre
158,69658,15.2 centimetre
159,69659,15.2 centimetre
160,69660,15.2 centimetre
161,69661,
162,69662,
163,69663,27.5 centimetre
164,69664,110.0 centimetre
165,69665,11.0 inch
166,69666,
167,69667,8.0 centimetre
168,69668,8.0 centimetre
169,69669,
170,69670,
171,69671,
172,69672,
173,69673,36.0 centimetre
174,69674,21.7 inch
175,69675,92.0 millimetre
176,69676,92.0 millimetre
177,69677,10.0 centimetre
178,69678,
179,69679,19.05 centimetre
180,69680,19.05 centimetre
181,69681,
182,69682,447.0 millimetre
183,69683,447.0 millimetre
184,69684,4.0 inch
185,69685,4.0 inch
186,69686,135.0 centimetre
187,69687,135.0 centimetre
188,69688,
189,69689,38.0 centimetre
190,69690,38.0 centimetre
191,69691,38.0 centimetre
192,69692,38.0 centimetre
193,69693,40.0 centimetre
194,69694,40.0 centimetre
195,69695,4.0 inch
196,69696,4.0 inch
197,69697,
198,69698,11.71 inch
199,69699,27.0 centimetre
200,69700,18.0 centimetre
201,69701,24.0 centimetre
202,69702,72.0 centimetre
203,69703,8.0 millimetre
204,69704,32.0 centimetre
205,69705,32.0 centimetre
206,69706,32.0 centimetre
207,69707,
208,69708,
209,69709,
210,69710,
211,69711,
212,69712,15.0 centimetre
213,69713,29.0 centimetre
214,69714,29.0 centimetre
215,69715,
216,69716,
217,69717,183.0 centimetre
218,69718,
219,69719,
220,69720,
221,69721,38.0 centimetre
222,69722,
223,69723,
224,69724,
225,69725,57.0 centimetre
226,69726,
227,69727,9.1 centimetre
228,69728,9.1 centimetre
229,69729,10.5 centimetre
230,69730,2.36 inch
231,69731,2.36 inch
232,69732,286.0 millimetre
233,69733,3.0 pound
234,69734,250.0 centimetre
235,69735,11.5 centimetre
236,69736,160.0 millimetre
237,69737,432.0 millimetre
238,69738,432.0 millimetre
239,69739,30.0 centimetre
240,69740,30.0 centimetre
241,69741,30.0 centimetre
242,69742,60.0 millimetre
243,69743,60.0 millimetre
244,69744,60.0 millimetre
245,69745,10.5 centimetre
246,69746,10.5 centimetre
247,69747,15.0 centimetre
248,69748,15.0 centimetre
249,69749,4.5 inch
250,69750,4.5 inch
251,69751,179.0 millimetre
252,69752,179.0 millimetre
253,69753,
254,69754,14.0 centimetre
255,69755,14.0 centimetre
256,69756,66.0 centimetre
257,69757,66.0 centimetre
258,69758,60.0 centimetre
259,69759,15.0 centimetre
260,69760,15.0 centimetre
261,69761,
262,69762,42.0 millimetre
263,69763,42.0 millimetre
264,69764,
265,69765,
266,69766,90.0 millimetre
267,69767,15.0 centimetre
268,69768,15.0 centimetre
269,69769,28.0 centimetre
270,69770,
271,69771,
272,69772,
273,69773,32.0 centimetre
274,69774,32.0 centimetre
275,69775,27.6 inch
276,69776,27.6 inch
277,69777,30.5 centimetre
278,69778,30.5 centimetre
279,69779,30.5 centimetre
280,69780,723.5 millimetre
281,69781,723.5 millimetre
282,69782,225.0 millimetre
283,69783,
284,69784,
285,69785,8.4 centimetre
286,69786,8.4 centimetre
287,69787,25.0 centimetre
288,69788,25.0 centimetre
289,69789,25.0 centimetre
290,69790,80.0 centimetre
291,69791,
292,69792,
293,69793,20.0 centimetre
294,69794,544.0 gram
295,69795,540.0 millimetre
296,69796,75.0 metre
297,69797,46.0 millimetre
298,69798,46.0 millimetre
299,69799,
300,69800,72.0 inch
301,69801,53.0 centimetre
302,69802,78.0 inch
303,69803,330.0 pound
304,69804,
305,69805,
306,69806,9.8 foot
307,69807,9.8 foot
308,69808,9.8 foot
309,69809,28.0 centimetre
310,69810,28.0 centimetre
311,69811,
312,69812,
313,69813,19.0 centimetre
314,69814,19.0 centimetre
315,69815,
316,69816,1.4 kilogram
317,69817,
318,69818,70.0 metre
319,69819,70.0 metre
320,69820,6.0 centimetre
321,69821,6.0 centimetre
322,69822,5.0 centimetre
323,69823,70.0 millimetre
324,69824,32.0 centimetre
325,69825,67.0 millimetre
326,69826,67.0 millimetre
327,69827,
328,69828,
329,69829,27.0 centimetre
330,69830,27.0 centimetre
331,69831,2.4 inch
332,69832,2.4 inch
333,69833,65.0 centimetre
334,69834,30.0 centimetre
335,69835,6.0 foot
336,69836,6.0 foot
337,69837,31.0 millimetre
338,69838,31.0 millimetre
339,69839,92.8 centimetre
340,69840,92.8 centimetre
341,69841,
342,69842,76.0 centimetre
343,69843,76.0 centimetre
344,69844,
345,69845,38.0 centimetre
346,69846,38.0 centimetre
347,69847,120.0 centimetre
348,69848,2.0 centimetre
349,69849,2.0 centimetre
350,69850,2.0 centimetre
351,69851,
352,69852,34.0 centimetre
353,69853,
354,69854,37.0 centimetre
355,69855,
356,69856,915.0 centimetre
357,69857,2.0 centimetre
358,69858,2.0 centimetre
359,69859,10.0 inch
360,69860,10.0 inch
361,69861,10.0 inch
362,69862,108.0 millimetre
363,69863,108.0 millimetre
364,69864,30.0 centimetre
365,69865,30.0 centimetre
366,69866,27.0 centimetre
367,69867,27.0 centimetre
368,69868,
369,69869,
370,69870,
371,69871,
372,69872,
373,69873,
374,69874,
375,69875,46.0 centimetre
376,69876,46.0 centimetre
377,69877,
378,69878,
379,69879,10.0 inch
380,69880,15.0 centimetre
381,69881,
382,69882,25.0 centimetre
383,69883,25.0 centimetre
384,69884,43.0 centimetre
385,69885,43.0 centimetre
386,69886,26.0 centimetre
387,69887,26.0 centimetre
388,69888,26.0 centimetre
389,69889,
390,69890,
391,69891,23.5 centimetre
392,69892,
393,69893,
394,69894,1.75 pound
395,69895,
396,69896,11.0 centimetre
397,69897,11.0 centimetre
398,69898,
399,69899,
400,69900,
401,69901,
402,69902,
403,69903,
404,69904,103.0 millimetre
405,69905,103.0 millimetre
406,69906,17.0 centimetre
407,69907,17.0 centimetre
408,69908,17.0 centimetre
409,69909,14.0 centimetre
410,69910,14.0 centimetre
411,69911,83.0 centimetre
412,69912,83.0 centimetre
413,69913,83.0 centimetre
414,69914,200.0 millimetre
415,69915,70.0 centimetre
416,69916,70.0 centimetre
417,69917,22.5 centimetre
418,69918,48.0 centimetre
419,69919,24.3 centimetre
420,69920,24.3 centimetre
421,69921,38.0 centimetre
422,69922,
423,69923,
424,69924,
425,69925,74.0 centimetre
426,69926,4.5 centimetre
427,69927,4.5 centimetre
